id,filtered_words,features,label_index
R129,"['continue', 'performance', 'loss', 'table', 'require.', 'understand', 'tree', 'dark.', 'past', 'trouble', 'economy', 'spend', 'news', 'base', 'well.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[217,353,743,2433,2909,3556,3614,3931,4506,4687,5329,5716,5871,6487,6717,8173,8833,9275,9351,9462],[4.137164559405029,4.42484663185681,4.42484663185681,4.270695952029551,4.019381523748645,2.8154087194227095,0.6871770135734415,3.577548771469606,0.691153161953081,0.691153161953081,4.137164559405029,4.607168188650764,4.42484663185681,3.383392757028649,5.523458920524919,3.6516567436233283,4.607168188650764,4.137164559405029,4.019381523748645,0.691153161953081])",1.0
R227,"['public', 'audience', 'front', 'action.', 'large', 'toward', 'build', 'quite.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[504,821,1312,1770,2059,3014,3194,3614,4506,4687,7022,8878,9213,9462],[4.137164559405029,2.849310271098391,4.270695952029551,2.661258039595451,2.661258039595451,3.914021008090819,4.607168188650764,0.6871770135734415,0.691153161953081,0.691153161953081,4.830311739964974,5.117993812416755,5.523458920524919,0.691153161953081])",1.0
F231,"['total', 'operation', 'newspaper', 'explain', 'force', 'thing.', 'quickly', 'staff', 'risk', 'eat', 'trade', 'in.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[391,419,503,650,1936,2735,3238,3391,5341,5850,5922,6224,6279,7276,7281,7936,8338,8794],[4.42484663185681,4.607168188650764,0.691153161953081,2.958509563063383,4.830311739964974,5.523458920524919,4.42484663185681,4.019381523748645,4.270695952029551,0.691153161953081,4.137164559405029,4.42484663185681,3.6516567436233283,3.914021008090819,0.6832166123573445,0.691153161953081,0.691153161953081,4.019381523748645])",0.0
R066,"['least', 'room.', 'ball', 'surface', 'program.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[1634,2366,3614,4506,4687,6944,7025,7281,7492,9462],[4.137164559405029,4.270695952029551,0.6871770135734415,0.691153161953081,0.691153161953081,2.8154087194227095,4.607168188650764,0.6832166123573445,4.42484663185681,0.691153161953081])",1.0
F095,"['us', 'finally', 'life', 'five', 'another', 'always', 'if.', 'cost', 'plant', 'avoid', 'move', 'western', 'apply.', 'identify', 'fact', 'fight', 'forward', 'glass', 'ahead', 'actually.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[503,524,1208,1388,1392,1817,2526,3184,3477,3888,3967,4490,5850,5974,6259,6282,6660,6932,7215,7244,7281,7936,8166,8268,8338,8411,9011],[0.691153161953081,3.914021008090819,2.8154087194227095,4.137164559405029,4.830311739964974,4.137164559405029,4.137164559405029,2.8154087194227095,4.42484663185681,5.117993812416755,4.270695952029551,4.42484663185681,0.691153161953081,3.577548771469606,5.117993812416755,4.270695952029551,3.914021008090819,3.7316994512968646,4.607168188650764,3.8187108282864943,0.6832166123573445,0.691153161953081,4.607168188650764,3.3262343431887,0.691153161953081,3.5085558999826545,4.137164559405029])",0.0
R174,"['start', 'social', 'network', 'activity', 'growth', 'election.', 'special', 'modern', 'generation', 'administration', 'particular', 'go', 'computer', 'face.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[320,823,1055,2336,2996,3556,3614,4506,4687,5185,6451,6944,6963,8110,8151,8984,9152,9297,9462],[4.137164559405029,4.019381523748645,4.137164559405029,3.914021008090819,3.3262343431887,2.8154087194227095,0.6871770135734415,0.691153161953081,0.691153161953081,4.137164559405029,3.4440173788450834,2.8154087194227095,4.019381523748645,4.830311739964974,4.830311739964974,4.019381523748645,4.607168188650764,5.523458920524919,0.691153161953081])",1.0
R201,"['rich', 'defense', 'area', 'affect.', 'begin', 'official', 'meeting', 'degree', 'onto', 'threat.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[20,1513,1770,3475,3543,3614,4319,4506,4687,5649,5692,6212,6219,8485,9462,9943],[4.019381523748645,4.42484663185681,2.661258039595451,5.523458920524919,4.42484663185681,0.6871770135734415,4.019381523748645,0.691153161953081,0.691153161953081,4.270695952029551,5.117993812416755,4.019381523748645,3.172083663361442,3.577548771469606,0.691153161953081,4.137164559405029])",1.0
R072,"['reach', 'meeting', 'movement', 'traditional', 'camera', 'style', 'speech.', 'talk', 'financial', 'compare', 'pull', 'professional', 'door.', 'employee', 'try.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[20,1180,1650,2155,3614,3960,4486,4506,4687,5047,5294,6548,6597,6609,7407,8000,8386,8925,9246,9462],[4.019381523748645,5.523458920524919,4.270695952029551,3.8187108282864943,0.6871770135734415,5.523458920524919,3.914021008090819,0.691153161953081,0.691153161953081,2.6902455764687034,4.42484663185681,4.137164559405029,4.270695952029551,5.117993812416755,3.914021008090819,3.914021008090819,4.137164559405029,4.607168188650764,4.019381523748645,0.691153161953081])",1.0
R064,"['meet', 'space', 'bill.', 'perhaps', 'democrat', 'guy', 'citizen', 'us', 'blue', 'fear.', 'glass', 'idea', 'always', 'really', 'artist', 'subject', 'already.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[8,94,1259,3204,3614,4112,4506,4687,5234,5768,5958,6660,6932,7066,7615,8655,8931,9011,9181,9188,9462,9940],[4.270695952029551,4.42484663185681,4.137164559405029,4.607168188650764,0.6871770135734415,3.6516567436233283,0.691153161953081,0.691153161953081,4.019381523748645,4.607168188650764,4.607168188650764,3.914021008090819,3.7316994512968646,2.849310271098391,5.523458920524919,4.270695952029551,4.830311739964974,4.137164559405029,5.523458920524919,4.019381523748645,0.691153161953081,3.577548771469606])",1.0
F037,"['arrive', 'present', 'address', 'education.', 'arrive', 'contain', 'everyone', 'especially', 'else', 'seem', 'reduce', 'forward.', 'accept', 'country', 'simply', 'late', 'five', 'write', 'available.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[503,1256,1642,1886,2481,2588,2657,3079,4454,5034,5047,5445,5850,5974,7281,7391,7493,7860,7870,7936,8130,8159,8173,8338,8893],[0.691153161953081,3.125563647726549,3.8187108282864943,4.270695952029551,3.8187108282864943,4.019381523748645,3.8187108282864943,3.577548771469606,4.830311739964974,3.6516567436233283,2.6902455764687034,4.42484663185681,0.691153161953081,3.577548771469606,0.6832166123573445,8.274329118810059,4.42484663185681,2.958509563063383,3.4440173788450834,0.691153161953081,4.137164559405029,3.7316994512968646,3.6516567436233283,0.691153161953081,4.830311739964974])",0.0
